nra,num,cosit,TMU,location,lat,lng
NRA,20041,NRA_000000020041,TMU M04 015.0 E,"M04 Between Jn06 Celbridge and Jn07 Maynooth, Maynooth, Co. Kildare",53.36438,-6.56185
NRA,20042,NRA_000000020042,TMU M04 020.0 W,"M04, Maynooth,West Co. Kildare",53.37465,-6.62558
NRA,20044,NRA_000000020044,TMU M04 070.0 E,"M04 Between Jn16 Delvin and Jn17 Castlepollard, Mullingar Bypass, Co. Westmeath",53.54357,-7.3196
NRA,20045,NRA_000000020045,TMU N04 110.0 W,"N04 Between Dublin Road and Granard Road Roundabouts, Longford Bypass, Co. Longford",53.72244,-7.76268
NRA,20046,NRA_000000020046,TMU N04 130.0 E,"N04 Between Longford and Carrick-on-Shannon, Dromod Bypass, Co. Leitrim",53.8827,-7.9362
NRA,20047,NRA_000000020047,TMU N04 000.0 W,"N04 Between Jn01 N4\/M50 and Jn02 Liffey Valley, Liffey Valley, Co. Dublin",53.3555,-6.39533
NRA,20051,NRA_000000020051,TMU N05 050.0 W,"N05 Between Tulsk and Frenchpark, Frenchpark, Co. Roscommon",53.86358,-8.40136
NRA,20061,NRA_000000020061,TMU M06 010.0 W,"M06 Between Jn02 Kinnegad (West) and Jn03 Rochfortbridge, Co. Meath",53.4318,-7.22018
NRA,20062,NRA_000000020062,TMU M06 025.0 W,"M06 Between Jn04 Tyrrellspass and Jn05 Tullamore, Kilbeggan, Co. Westmeath",53.35916,-7.44539
NRA,20063,NRA_000000020063,TMU M06 035.0 W,"M06 Between Jn05 Tullamore and Jn06 Moate (East), Horseleap, Co. Westmeath",53.38363,-7.58138
NRA,20064,NRA_000000020064,TMU M06 060.0 S,"M06 Between Jn07 Moate (West) and Jn08 Ferbane, Athlone East, Co. Westmeath",53.41239,-7.88602
NRA,20065,NRA_000000020065,TMU N06 060.0 W,"N06 Between Jn11 Athlone (Centre) and Jn12 Roscommon,  Athlone Bypass, Co. Westmeath",53.43438,-7.94832
NRA,20066,NRA_000000020066,TMU R446 070.0 W,"R446 (Old N06) Between Athlone and Ballinasloe, Ballydangan, Co. Roscommon",53.3616,-8.06759
NRA,20067,NRA_000000020067,TMU R446 120.0 E,"R446 (Old N06) Between Loughrea and Ballinasloe, Cappataggle, Go. Galway",53.27069,-8.3994
NRA,20071,NRA_000000020071,TMU N07 020.0 E,"N07 Between Jn07 Kill and Jn08 Johnstown, Kill, Co. Kildare",53.25016,-6.5907
NRA,20072,NRA_000000020072,TMU M07 025.0 E ,"M07 Between Jn09 Naas North and Jn10 Nass South, Naas Bypass, Co. Kildare",53.24144,-6.66288
NRA,20073,NRA_000000020073,TMU M07 030.0 W,"M07 Between Jn10 Naas South and Jn11 M7\/M9, Lewistown, Co. Kildare ",53.18341,-6.7355
NRA,20074,NRA_000000020074,TMU M07 035.0 E,"M07 Between Jn12 Newbridge and Jn M07\/M09 , Greatconnell, Co. Kildare ",53.16645,-6.76811
NRA,20075,NRA_000000020075,TMU M07 040.0 E,"M07 Between Jn12 Newbridge and Jn13 Kildare, The Curragh, Co. Kildare",53.1588,-6.85208
NRA,20076,NRA_000000020076,TMU M07 045.0 E,"M07 Between Jn13 Kildare and Jn14 Monasterevin, Kildare Town, Co. Kildare",53.15473,-6.95265
NRA,20077,NRA_000000020077,TMU M07 065.0 W,"M07 Between Jn14 Monasterevin and Jn15 Ballybrittas, New Inn, Co. Laois",53.09198,-7.16771
NRA,20078,NRA_000000020078,TMU M07 070.0 W,"M07 Between Jn15 Ballybrittas and Jn16 Portlaoise (East), Ballydavis, Co. Laois",53.05261,-7.23607
NRA,20079,NRA_000000020079,TMU M07 080.0 E,"M07 Between Jn16 Portlaoise (East) and Jn17 Portlaoise (Centre), Co. Laois",53.01308,-7.29836
NRA,20081,NRA_000000020081,TMU N77 050.0 S,"N77 Between Portlaoise and Abbeyleix, South of M7 Jn17 Portlaoise (Central), Portlaoise, Co. Laois",53.00523,-7.3046
NRA,20082,NRA_000000020082,TMU N77 030.0 S,"N77 Between Abbeyleix and Durrow, Kilamuck, Co. Laois",52.88282,-7.36429
NRA,20083,NRA_000000020083,TMU M08 060.0 N,"M08 Between Jn09 Cashel (South) and Jn10 Cahir (North), Cashel, Co. Tipperary",52.47978,-7.90648
NRA,20084,NRA_000000020084,TMU M08 035.0 N,"M08 Between Jn04 Urlingford and Jn05 Twomileborris, Twomileborris, Co. Tipperary",52.6702,-7.695
NRA,20085,NRA_000000020085,TMU M08 140.0 S,"M08 Between Jn18 Glanmire and Jn19 N8\/N25 Dunkettle, Glanmire, Co. Cork",51.9161,-8.38155
NRA,20086,NRA_000000020086,TMU M08 105.0 S,"M08 Between Jn13 Mitchelstown (South) Jn14 Fermoy(North), Mitchelstown, Co. Cork",52.21668,-8.28182
NRA,20087,NRA_000000020087,TMU M08 050.0 N,"M08 Between Jn06 Thurles and Jn07 Cashel (North), Cashel, Co. Tipperary",52.55771,-7.85157
NRA,20088,NRA_000000020088,TMU M08 040.0 N,"M08 Between Jn05 Twomileborris and Jn06 Thurles, Thurles, Co. Tipperary",52.6611,-7.72258
NRA,20089,NRA_000000020089,TMU M08 020.0 N,"M08 Between Jn03 Rathdowney and Jn04 Urlingford, Glashare, Co. Kilkenny",52.78875,-7.52357
NRA,20091,NRA_000000020091,TMU M09 020.0 S,"M09 Between Jn02 Kilcullen and Jn03 Athy, Crookstown, Co. Kildare",53.02617,-6.81739
NRA,20092,NRA_000000020092,TMU M09 030.0 S,"M09 Between Jnc 3 Kilcullen and Jnc 4 Castledermot, Co. Kildare",52.91377,-6.8652
NRA,20093,NRA_000000020093,TMU M09 111.0 N,"M09 Between Jn11 Mullinavat and Jn12 M9\/N24\/N25 Grannagh, Mullinavat, Co. Kilkenny",52.36673,-7.1653
NRA,20094,NRA_000000020094,TMU M09 110.0 N,"M09 Between Jn10 Knocktopher and Jn11 Mullinavat, Co. Kilkenny",52.38173,-7.17208
NRA,20111,NRA_000000020111,TMU M11 015.0 S,"M11 Between Jn5 Bray North and Jn6 Bray Central,  Fassaroe , Co. Wicklow",53.20248,-6.1296
NRA,20112,NRA_000000020112,TMU N11 020.0 N,"N11 Between Jn8 Kilmacanogue and Jn9  Glen of the Downs, Kilmacanogue, Co Wicklow",53.15905,-6.12795
NRA,20113,NRA_000000020113,TMU N11 050.0 S,"R772 (old N11) Jack Whites, North of Arklow, Co. Wicklow",52.89786,-6.10092
NRA,20114,NRA_000000020114,TMU N11 060.0 S,"M11 Between Jn19 Brittas Bay and Jn20 Arklow North, Arklow North, Co Wicklow",52.82218,-6.14266
NRA,20115,NRA_000000020115,TMU M11 070.0 N,"M11 Between Jn21 Arklow South and and Jn22 Tinnock, Arklow South, Co. Wicklow",52.77216,-6.18398
NRA,20116,NRA_000000020116,TMU M11 080.0 N,"M11 Between Jn22 Tinnock and Jn23 Courtown, Gorey, Co. Wexford",52.67383,-6.25803
NRA,20117,NRA_000000020117,TMU M11 085.0 S,"M11 Between Jn23 Courtown and Clogh Roundabout, Gorey South, Co. Wexford",52.65503,-6.30403
NRA,20118,NRA_000000020118,TMU M11 040.0 N,"M11 Between Jn15  and J16, Rathnew, Co. Wicklow",53.00297,-6.09087
NRA,20151,NRA_000000020151,TMU N15 030.0 N,"N15 Between Ballybofey and Donegal Town, North of Baresmore, Co. Donegal",54.757,-7.89482
NRA,20152,NRA_000000020152,TMU N15 050.0 S,"N15 Between Ballyshannon and Donegal Town, Donegal Town Bypass, Co. Donegal",54.64502,-8.08635
NRA,20153,NRA_000000020153,TMU N15 080.0 N,"N15 Between Bundoran and Sligo, Tullaghan, Co. Leitrim",54.4622,-8.36523
NRA,20171,NRA_000000020171,TMU N17 105.0 S,"N17 Between Tuam and Claregalway, North of N63 Jn, Co. Galway",53.40764,-8.91069
NRA,20172,NRA_000000020172,TMU N17 110.0 N,"N17 Between Claregalway and N63 Jn, Laghtgeorge, Co. Galway",53.355,-8.9328
NRA,20181,NRA_000000020181,TMU M18 060.0 N,"M18 Between Jn13 Tulla Road and Jn14 Barefield, Ennis North Co Clare ",52.86959,-8.94053
NRA,20182,NRA_000000020182,TMU M18 070.0 S,"M18 Between Jn11 Dromoland and Jn12 Killow, Ennis South, Co Clare",52.80833,-8.93139
NRA,20183,NRA_000000020183,TMU N18 080.0 N,"N18 Between Jn7 Sixmilebridge and Jn8 Ballycasey, Hurlerscross Co Clare.",52.71729,-8.84375
NRA,20184,NRA_000000020184,TMU N18 090.0 N,"N18 Between Jn4 Cratloemoyle and Jn5  Cratloe, Cratloe, Co Clare",52.68842,-8.73878
NRA,20185,NRA_000000020185,TMU M18 050.0 N,"M18 Between Jn15 Crusheen and Jn16 Gort, Co Clare.",52.95824,-8.89035
NRA,20186,NRA_000000020186,TMU M18 055.0 S,"M18 Between Jn14 Barefield and Jn15 Crusheen, Crusheen Co Clare.",52.92631,-8.91552
NRA,20201,NRA_000000020201,TMU N20 010.0 N,"N20 Between Blarney and Cork, Blackpool, Co. Cork",51.93303,-8.53211
NRA,20202,NRA_000000020202,TMU N20 080.0 N,"N20 Between Croom and M20, Croom North, Co.Limerick",52.57027,-8.72005
NRA,20203,NRA_000000020203,TMU M20 095.0 N,"M20 Between Jn03 Ballycummin and Jn04 Patrickswell, Rootiagh , Co. Limerick",52.6086,-8.66921
