,num,cosit,start_date,end_date,path,raw_path,url
2418,3103,NRA_000000003103,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000003103.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000003103.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003103&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2419,3104,NRA_000000003104,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000003104.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000003104.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003104&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2420,3105,NRA_000000003105,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000003105.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000003105.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003105&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2421,3106,NRA_000000003106,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000003106.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000003106.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003106&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2422,3111,NRA_000000003111,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000003111.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000003111.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003111&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2444,3401,NRA_000000003401,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000003401.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000003401.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003401&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2486,20042,NRA_000000020042,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000020042.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000020042.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020042&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2500,20072,NRA_000000020072,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000020072.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000020072.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020072&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2501,20073,NRA_000000020073,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000020073.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000020073.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020073&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2554,20251,NRA_000000020251,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000020251.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000020251.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020251&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
